ID;Kaynak;İcerik;Kategori
105;csgb/SSS;Haftada 5 saat fazla çalışma yapan bir işçinin ücret yerine izin alması mümkün müdür?;Yıllık İzin ve Dinlenme Süreleri
106;csgb/SSS;İşçinin hak ettiği fazla çalışma ya da fazla sürelerle çalışma nedeniyle serbest zamanı ne kadar sürede kullandırılmalıdır?;Yıllık İzin ve Dinlenme Süreleri
107;csgb/SSS;İşveren fazla saatlerle çalışma için işçinin onayını almalı mıdır?;Mobbing ve Çalışma Koşulları
108;csgb/SSS;İşveren bir yılda toplam ne kadar fazla çalışma yaptırma hakkına sahiptir?;Mobbing ve Çalışma Koşulları
109;csgb/SSS;Bir işyerinde taşeron firma elemanı olarak çalışan bir işçinin taşeron firmadan alamadığı ücreti tahsil edebilmesinin yasal bir yolu var mıdır?;Ücret, Fazla Mesai ve Yan Haklar
110;csgb/SSS;Tüzel kişiliğe sahip bir ticari işletme kuran bir işçinin daha önce çalıştığı firmanın taşıma işlerini yapması mümkün müdür?;İş Sağlığı ve Güvenliği
111;csgb/SSS;Aynı işyerinde çalışmaya devam eden işçinin izin kullanma hakkı taşeron firmanın değişmesi durumunda nasıl etkilenmektedir?;Yıllık İzin ve Dinlenme Süreleri
112;csgb/SSS;Bir spor kulübünde profesyonel futbolcu olarak 2 yıl çalışan bir futbolcu ne kadar kıdem tazminatı alabilir?;Kıdem ve İhbar Tazminatı
113;csgb/SSS;Bir hava yolu şirketinde finans müdürü olarak çalışan işçi 4857 sayılı İş Kanununa tabi midir?;Genel Bilgilendirme ve Diğer
114;csgb/SSS;İşverenin kadınlara erkeklerden daha az ücret ödemesi kanuna uygun mudur?;Ücret, Fazla Mesai ve Yan Haklar
115;csgb/SSS;İşyeri devredilen işçinin devirden önceki alacaklarından yeni şirket mi eski şirket mi sorumludur?;Ücret, Fazla Mesai ve Yan Haklar
116;csgb/SSS;Geçici iş ilişkisi nedir?;Genel Bilgilendirme ve Diğer
117;csgb/SSS;İşçi özel istihdam bürosu aracılığıyla geçici iş ilişkisi kapsamında ne kadar süreyle görevlendirilebilir?;Genel Bilgilendirme ve Diğer
118;csgb/SSS;Geçici işçi çalıştıran işverenin yükümlülükleri nelerdir?;Genel Bilgilendirme ve Diğer
119;csgb/SSS;Geçici iş ilişkisinde işçinin yükümlülükleri nelerdir?;Genel Bilgilendirme ve Diğer
120;csgb/SSS;Geçici iş ilişkisi nasıl kurulur, hangi halde bu ilişki geçersiz sayılır?;Genel Bilgilendirme ve Diğer
121;csgb/SSS;Hangi işlerde geçici iş ilişkisi gerçekleşmez?;Genel Bilgilendirme ve Diğer
122;csgb/SSS;İş sözleşmesinin işçi tarafından derhal feshi ne demektir?;Haklı Nedenle Fesih ve İstifa
123;csgb/SSS;İşçinin iş sözleşmesini derhal feshetmesini gerektirecek sağlık sebepleri nelerdir?;Haklı Nedenle Fesih ve İstifa
124;csgb/SSS;İşçinin iş sözleşmesini derhal feshetmesini gerektirecek ahlak ve iyi niyet kurallarına uymayan haller ve benzerleri nelerdir?;Haklı Nedenle Fesih ve İstifa
125;csgb/SSS;İşçinin iş sözleşmesini derhal feshetmesini gerektirecek zorlayıcı sebepleri nelerdir?;Haklı Nedenle Fesih ve İstifa
126;csgb/SSS;İş sözleşmesinin işveren tarafından derhal feshi ne demektir?;Haklı Nedenle Fesih ve İstifa
127;csgb/SSS;İşverenin iş sözleşmesini derhal feshetmesini gerektirecek sağlık sebepleri nelerdir?;Haklı Nedenle Fesih ve İstifa
128;csgb/SSS;Grev ve lokavtın uygulanması sırasında geçici işçi çalıştıran işveren işçi çalıştırabilir mi?;Genel Bilgilendirme ve Diğer
129;csgb/SSS;50 ve daha fazla işçi çalıştırılan tarım işletmeleri ile 50’den daha az işçi çalıştırılan tarım işletmelerindeki tarım işçisi sayılmayan işçilerin iş hukuku bakımından durumu nedir?;Genel Bilgilendirme ve Diğer
130;csgb/SSS;Ulusal bayram ve genel tatil günlerinde çalışılması halinde işçinin ücreti nasıl ödenir? ödenir?;Ücret, Fazla Mesai ve Yan Haklar
131;csgb/SSS;Hafta içinde raporlu olunması halinde hafta tatili hakkı kaybedilir mi?;Yıllık İzin ve Dinlenme Süreleri
132;csgb/SSS;Çalışma süresi hesaplanırken ara dinlenmeleri hesaba katılmalı mıdır?;Yıllık İzin ve Dinlenme Süreleri
133;csgb/SSS;Ara dinlenmesi süresi ne kadar olmalıdır?;Yıllık İzin ve Dinlenme Süreleri
134;csgb/SSS;Ara dinlenmesi nedir?;Yıllık İzin ve Dinlenme Süreleri
135;csgb/SSS;Yıllık ücretli izin kullanılırken bir başka işte çalışılabilir mi?;Yıllık İzin ve Dinlenme Süreleri
136;csgb/SSS;Yıl içinde alınan mazeret izinlerini işveren yıllık izin hakkından düşebilir mi?;Yıllık İzin ve Dinlenme Süreleri
137;csgb/SSS;Hak kazanılması durumunda yıllık izin hakkı ne zaman kullanılabilir?;Yıllık İzin ve Dinlenme Süreleri
138;csgb/SSS;Mevsimlik bir işte çalışan işçinin yıllık izin hakkı var mıdır?;Yıllık İzin ve Dinlenme Süreleri
139;csgb/SSS;Yıllık ücretli izne ne zaman hak kazanılabilir?;Yıllık İzin ve Dinlenme Süreleri
140;csgb/SSS;Kadın işçi doğum sonrası ücretsiz izin alabilir mi?;Yıllık İzin ve Dinlenme Süreleri
141;csgb/SSS;Gebe ya da emziren kadın işçi gece postasında çalıştırılabilir mi?;İş Sağlığı ve Güvenliği
142;csgb/SSS;İşverenin gece vardiyasında işçiyi 12 saat çalıştırması yasal mıdır?;Yıllık İzin ve Dinlenme Süreleri
143;csgb/SSS;İşverenin bayram sonrası verdiği izin karşılığı telafi çalışması yaptırması mümkün müdür?;Genel Bilgilendirme ve Diğer
144;csgb/SSS;İşveren işçiyi işten çıkarmak istediğinde, işçiye önceden durumu bildirmeli midir?;Kıdem ve İhbar Tazminatı
145;csgb/SSS;Çalışılmış gibi sayılan 4 aylık sürenin sigorta primi ödenir mi?;Ücret, Fazla Mesai ve Yan Haklar
146;csgb/SSS;Mahkeme işe iade kararı verirse işçinin kaç gün içerisinde işverene başvurması gerekir?;İşe İade ve İş Güvencesi
147;csgb/SSS;İşçinin kendi isteği veya savsaması yüzünden işin güvenliğini tehlikeye düşürmesi, işyerinin malı olan veya malı olmayıp da eli altında bulunan makineleri, tesisatı veya başka eşya ve maddeleri otuz günlük ücretinin tutarıyla ödeyemeyecek derecede hasara ve kayba uğratması durumunda ilgili işveren tarafından derhal fesih nasıl yapılır?;Haklı Nedenle Fesih ve İstifa
148;csgb/SSS;4857 sayılı İş Kanununun 25’inci maddesinin (II) nolu bendinin (g) alt bendinde yer alan ay kavramı ile ne ifade edilmektedir?;Genel Bilgilendirme ve Diğer
149;csgb/SSS;Yıllık izin süresi nasıl hesaplanır?;Yıllık İzin ve Dinlenme Süreleri
150;https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648;yeni çıkacak kıdem tazminatı yasası hakkında içerik tam olarak nedir yada çıkacakmı yasa;Kıdem ve İhbar Tazminatı
151;https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648;Ustanın işini yapan işçi daha fazla ücret talep edebilme hakkına sahipmidir ?;Ücret, Fazla Mesai ve Yan Haklar
152;https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648;Alt işverenin yanında çalışan işçinin işverene karşı yada işverenin alt işverenin işçisine karşı yükümlülüğü varmıdır,bir kaza durumunda işveren o işçiden sorumlu tutulurmu ?;İş Sağlığı ve Güvenliği
153;https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648;Bir işyerinde aynı statüde çalışanların farklı maaş alması yasal mıdır? Bahsi geçen firma kurumsal bir firmadır. Bundan yaklaşık 10 yıl önce özelleştirildi. Devlet zamanından kalanlar yüksek maaş almakta. Özelleştikten sonra işe girenler ise yaklaşık %25-30 daha az maaş almakta. Her şeyiyle aynı statüdeyiz, yapılan iş aynı, çalışma saatleri her şeyiyle aynı fakat maaş farklı. Bunun yasal olup olmadığını merak ediyorum ben de.;Ücret, Fazla Mesai ve Yan Haklar
154;https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648;Merhabalar annem bir tekstil yerinde çalışıyor basım yapılan, patron maaşları taksit taksit ödüyor asgari ücret olmasına rağmen. Misal 1300 liranın 600ünü ayın 10'unda, geri kalanını ise ay sonu olmadan. Annem şikayet etmek için bir numarayı aradı(şu anda soramıyorum fakat bunlarla ilgilenen bir devlet numarasıydı) şikayetini bildirdi ve isimsiz kalmak istedi çünkü patronun duyup annemi işten atmasından endişelendi. Aradığı numara annemi birkaç gün sonra geri aradı ve denetleme yapabilmeleri için isimsiz kalamayacağını söylediler annem de şikayeti geri çekmek zorunda kaldı. Bu durumda ne yapılabilir ve bu saçmalığı neden yapıyorlar - Kaynak: forum.donanimhaber.com;Ücret, Fazla Mesai ve Yan Haklar
155;https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648;Hizmet sektöründe 23:00 - 07:00 saatleri arasında çalışmaktayım. Bu durumda iş yerinde 14:30 - 17:00 saatleri arasında yapılan şirket içi eğitime katılma zorunluluğumun olup olmadığını ve bununla ilgili varsa ilgili maddeyi öğrenmek istiyorum.;Yıllık İzin ve Dinlenme Süreleri
156;https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648;Merhabalar. Annem bir yemek şirketinde 1 yılı aşkın süre ile çalışıyor. Fakat yemek şirketi başka bir ilde ikametgahıza uzak fabrikada çalışmasını istiyor. Fabrikaya servis imkanı yok ayrıca çok uzak gitme şansı yok. Hukuki dayanağı var mı? Annemin istifa etmesi durumunda kıdem tazminatını alabilir mi ayrıca kullanmadığı yıllık iznini kullanabilir mi?;Mobbing ve Çalışma Koşulları
157;https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648;7 yıllık çalışanım ve sorumlu olarak gözüküyorum(elemanın bir üst kademesi). Sorunluluğum nedeniyle asgari ücretten bi miktar fazla alıyordum. Asgarî ücrete yapılan yeni zamla beraber bu fark ortadan kalkmıştır ve asgari ücret almaktayım. Bu farkın kalkması hukukî olarak kabul edilmekte midir?;Ücret, Fazla Mesai ve Yan Haklar
158;https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648;Aylık yemek ücretini ticket kart olarak almaktayım ve günlük 30tl harcama sınırı vardır. Bu harcama sınırı yasal mıdır?;Ücret, Fazla Mesai ve Yan Haklar
159;https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648;"Şubatın 12 sinde işten çıkarıldım.Tüm çıkış haklarım kağıt üzerinde verildi. İşyeri tazminatımı taksitle vermek istedi.Çalışma bakanlığını aradım.Bana taksit olayının tamamen benim tercihime kaldığını kabul etmezsem 20 gün süresi olduğunu; 20 gün sonunda ödemezse tekrar onları aramamı söyledi.(Takside böldürürsen kesinlikle ıslak imzalı anlaşma kağıdı almamı söyledi) İşverenime tazminatı tek seferde almak istediğimi söyledim.(tazminatım 8000tl) Bana tek seferde veremeyeceğini kabul etmezsen git mahkemeye dedi.Ödemem gereken borçlarımdan dolayı (mahkeme süresi vs. beni çok kötü şekilde etkiler) Tazminatımı 3 taksit olucak şekilde nisan mayıs haziranın 1-10 arası ödeme olucak şekilde istemeyerekte olsa anlaştım.Bugün benden önce çıkısı verilen gruptan bazı arkadaşlar aradım.onların yaptığı anlaşmada ayın 18 inde taksitleri yatıcaktı.Ama yatmamış.Arkadaşlar pazartesi günü görüşme yapıcak.Anlaşamazlarsa mahkemeye vericekler.
 Benim her ay ödemem gereken borçlarım var.Nisanda paramı alamazsam çok kötü bir duruma düşücem.(mart ayını borç harç çevircem)
 Daha önceki çıkarılan işçilerin tazminatları yatmadığı için anlaşmaya itiraz edip şu an mahkemeye verebilirmiyim ?";Kıdem ve İhbar Tazminatı
160;https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648;Çalıştığımız yerden her hangi bir sebep dahilinde işverene haber vermeden hemen ertesi gün ayrılırsak bu konuda bir ceza vs ödermiyiz? Çalışılan yerden belirli bir süre ihbarı olmaksınız kovulduğumuzda işverenin çalışılan yıla göre size ihbar tazminatı ödemesi söz konusu. Benim sorduğum soru bu durumun tam tersi de geçerli midir?;Kıdem ve İhbar Tazminatı
161;https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648;"Ben bir firmada 11 yıldır çalışıyorum
 başka bir iş buldum , istifa ettiğim zaman hiç hak talep edemiyorum dimi ?";Haklı Nedenle Fesih ve İstifa
162;https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648;hocam bir kamu kuruluşunda taşeron olarak çalışıyorum. eşim doğum yaptı 5 gün babalık iznine ayrıldım. maaşım bu ay az yatmış. babalık izninde olduğum süre kesilmiş sanırım. kesilen parayı sgk ödüyormuş sanırım öyle bir şey duydumda. bilginiz varsa paylaşırsanız sevinirim.;Yıllık İzin ve Dinlenme Süreleri
163;https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648;özel bir firmada beyaz yaka statüsünde çalışmaktayım. şimdiye kadar net maaş üzerinden çalışmaktaydık ancak şirket beyaz yakayı brüt maaşa geçirmek için çalışmalar yapmakta. böyle bir durumda işverenin iyi niyet kurallarına aykırı hareketinden dolayı tazminat talep edebilir miyim?;Mobbing ve Çalışma Koşulları
164;https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648;Taşeron bir firmada çalışıyorum ve sosyal hakları 1 yıl dolduğunda almaya başlıyorsun.Benim yaklaşık 6 ay oldu ve ekimde 1 sene olacak.Tabi bayram falan geçmiş olacak onların parasını alamayacağım.Bana bir arkadaşımın dediği eğer yılın dolarsa sosyal haklarını yıl sonunda almadığın bayram parası vs vs onlarıda ödemeleri zorunlu dedi acaba bu konuda beni bilgilendirir misiniz ?;Ücret, Fazla Mesai ve Yan Haklar
165;https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648;"Bir işveren verdiği maaşın belli bir miktarını normal maaş, diğer bir kısmını da prim adı altında gösteriyor. Bu yasal mı?
 Yani
 2000₺ toplam paranın 1300 ü normal ama kalan 700 ü ise prim ismiyle veriliyor.";Ücret, Fazla Mesai ve Yan Haklar
166;https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648;"İstanbulda özel bir üniversitede 4 yıldır okutman olarak çalışıyorum. İzin haklarımla ilgili bir sorum (hatta sorunum) var. Senelik sözleşme yapıyoruz.
 
 2013 yılındaki sözleşmemde “Akademik Personelin yılda 30 gün izin kullanma hakkı vardır.” diyor. ve bu yıl mahsuben izne çıkarıldık, hakedişimiz 2014'müş.
 2014 yılındaki sözleşmem: ""Personel resmi olarak işe başladığı tarihten itibaren birinci yılını doldurduğunda yıllık 30 gün yıllık izin hakkına sahiptir. Bir yıllık hizmet süresini doldurmadan izin hak edilemez.
 2015 yılındaki sözleşmem: ""Personelin sözleşme süresince ücretli izin hakkı 30 gündür.""
 
 ve son olarak 2016 yılında imzaladığımız sözleşmede artık izin hakkımızın 20 gün olduğuna dair bir kanun maddesi yazıyordu. (şu anki sözleşme elimde olmadığı için tam metni yazamıyorum)
 
 
 geride kalan 3 yılda 30 ar günden 90 gün izin hakkım olduğunu ve yeni sözleşmedeki 20 günlük ibarenin 2016-2017 yılı için geçerli olduğunu savunuyorum. Fakat insan kaynaklarından 01.09.2016 tarihinde imzalamış olduğum sözleşmede belirttiği üzere 20 gün iznim olduğu ve 30+30+20 şeklinde 80 günlük izin hakkım olduğu söyleniyor. Bu sene için imzalamış olduğum sözleşmenin geçmişteki 3 sözleşmede açıkça 30ar gün izin hak edişimi azaltması gibi bir şey mümkün müdür?";Yıllık İzin ve Dinlenme Süreleri
167;https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648;Merhabalar benim bir arkadaşım yüzde 40 engelli bir işe girdi 3 gün calisti sonra çıktı bir sürü tiri kendi başına bosaltiyomus bi de soğukta çıktı bu arkadaş ama 2 günlük parasını alamadi 1 gunlunu aldı adama dedi adam da ben vermem demiş ne verecek zaten 1 gun çalıştın demiş vermem diye ısrar etmiş şimdi bunu zorla çağırıyorlar ise gitmiyo görmezden parani vermeyiz diyolar biz şimdi napalim nereye gidelim nereye basvuralim yardım edin lutfen;Ücret, Fazla Mesai ve Yan Haklar
168;https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648;hocam ben yazın bir otelde çalıştım maaş vermedikleri için ayrıldım.Benlw birlikte başka kişilerde çıktı işten ancak aylar olmasına rağmen hala 1500 lira paramı alamadım başkaları da alamadı.Ne yapmalıyım?;Ücret, Fazla Mesai ve Yan Haklar
169;https://forum.donanimhaber.com/is-hukuku-ve-isci-haklarina-dair-sorularinizi-cevapliyorum--113737648;Sözleşmeli özel sektör çalışanı biriyim. Yıl bitimi itibariyle bulunduğum proje el değiştirdi ve haklarımız yeni sahiplerine devredildi. Devir kağıdını imzaladık ama memnun değilim. Tazminat hakkımı alma şansım var mı acaba?;Kıdem ve İhbar Tazminatı
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
